影片中文名,影片外国名,评分,评价数,概况,导演,主演,年份,地区,类别
哈尔的移动城堡,ハウルの動く城,8.8,304191,带着心爱的人在天空飞翔,导演:宫崎骏 Hayao Miyazaki,主演:倍赏千惠子 Chieko Baish / 木村拓,2004,日本,爱情 动画 奇幻 冒险
情书,Love Letter,8.8,326604,暗恋的极致,导演:岩井俊二 Shunji Iwai,主演:中山美穗 Miho Nakayama / 丰川悦司 Ets,1995,日本,剧情 爱情
死亡诗社,Dead Poets Society,8.9,241592,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面,导演:彼得·威尔 Peter Weir,主演:罗宾·威廉姆斯 Robin Williams / 罗伯,1989,美国,剧情
美国往事,Once Upon a Time in America,9.1,154064,往事如烟，无处祭奠,导演:Sergio Leone,主演:罗伯特·德尼罗 Robert De Niro / 詹姆斯·伍兹 ,1984,意大利 美国,犯罪 剧情
七宗罪,Se7en,8.7,393992,警察抓小偷，老鼠玩死猫,导演:大卫·芬奇 David Fincher,主演:摩根·弗里曼 Morgan Freeman / 布,1995,美国,剧情 犯罪 悬疑 惊悚
钢琴家,The Pianist,9.0,180352,音乐能化解仇恨,导演:罗曼·波兰斯基 Roman Polanski,主演:艾德里安·布洛迪 Adrien Brod,2002,法国 德国 英国 波兰,剧情 传记 历史 战争
勇敢的心,Braveheart,8.8,268592,史诗大片的典范,导演:梅尔·吉布森 Mel Gibson,主演:梅尔·吉布森 Mel Gibson / 苏菲·玛,1995,美国,动作 传记 剧情 历史 战争
狮子王,The Lion King,8.9,250810,动物版《哈姆雷特》,导演:Roger Allers / 罗伯·明可夫 Rob Minkoff,主演:乔纳森·泰勒·托马,1994,美国,剧情 动画 冒险 歌舞 家庭
剪刀手爱德华,Edward Scissorhands,8.7,434757,浪漫忧郁的成人童话,导演:Tim Burton,主演:约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ,1990,美国,剧情 奇幻 爱情
致命魔术,The Prestige,8.8,301110,孪生蝙蝠侠大战克隆金刚狼,导演:克里斯托弗·诺兰 Christopher Nolan,主演:克里斯蒂安·贝尔 Christ,2006,美国 英国,剧情 悬疑 惊悚
被嫌弃的松子的一生,嫌われ松子の一生,8.9,233501,以戏谑来戏谑戏谑,导演:中岛哲也 Tetsuya Nakashima,主演:中谷美纪 Miki Nakatani / 瑛太 E,2006,日本,剧情 歌舞
音乐之声,The Sound of Music,8.9,207290,用音乐化解仇恨，让歌声串起美好,导演:Robert Wise,主演:朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普,1965,美国,剧情 爱情 歌舞 家庭 传记
小鞋子,بچههای آسمان,9.1,117665,奔跑的孩子是天使,导演:马基德·马基迪 Majid Majidi,主演:Amir Farrokh Hashemian / 默罕,1999,伊朗,剧情 家庭 儿童
辩护人,변호인,9.1,163614,电影的现实意义大过电影本身,导演:杨宇硕 Woo-seok Yang,主演:宋康昊 Kang-ho Song / 吴达洙 Dal-su O,2013,韩国,剧情
低俗小说,Pulp Fiction,8.7,291602,故事的高级讲法,导演:昆汀·塔伦蒂诺 Quentin Tarantino,主演:约翰·特拉沃尔塔 John Tra,1994,美国,剧情 喜剧 犯罪
入殓师,おくりびと,8.8,290107,死可能是一道门，逝去并不是终结，而是超越，走向下一程,导演:泷田洋二郎 Yjir Takita,主演:本木雅弘 Masahiro Motoki / ,2008,日本,剧情
饮食男女,飲食男女,9.0,157058,人生不能像做菜，把所有的料都准备好了才下锅,导演:李安 Ang Lee,主演:吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /,1994,台湾 美国,剧情 家庭
蝴蝶效应,The Butterfly Effect,8.7,342496,人的命运被自己瞬间的抉择改变,导演:埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J Mackye Gruber,主,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
沉默的羔羊,The Silence of the Lambs,8.7,309770,安东尼·霍普金斯的顶级表演,导演:Jonathan Demme,主演:Jodie Foster / Anthony Hopkins / Scott Glenn,1991,美国,剧情 犯罪 惊悚
本杰明·巴顿奇事,The Curious Case of Benjamin Button,8.7,354184,在时间之河里感受溺水之苦,导演:大卫·芬奇 David Fincher,主演:凯特·布兰切特 Cate Blanchett / ,2008,美国,剧情 爱情 奇幻
玛丽和马克思,Mary and Max,8.9,215161,你是我最好的朋友，你是我唯一的朋友,导演:Adam Elliot,主演:托妮·科莱特 Toni Collette / 菲利普·塞默·霍,2009,澳大利亚,剧情 爱情 动画
黑客帝国,The Matrix,8.8,246025,视觉革命,导演:安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,主,1999,美国 澳大利亚,动作 科幻
控方证人,Witness for the Prosecution,9.5,58733,比利·怀德满分作品,导演:比利·怀尔德 Billy Wilder,主演:查尔斯·劳顿 Charles Laughton / ,1957,美国,剧情 犯罪 悬疑
拯救大兵瑞恩,Saving Private Ryan,8.8,203141,美利坚精神输出大片No1.,导演:史蒂文·斯皮尔伯格 Steven Spielberg,主演:汤姆·汉克斯 Tom Hanks,1998,美国,剧情 历史 战争
西西里的美丽传说,Malèna,8.7,298469,美丽无罪,导演:朱塞佩·托纳多雷 Giuseppe Tornatore,主演:莫妮卡·贝鲁奇 Monica ,2000,意大利 美国,剧情 战争 情色
幽灵公主,もののけ姫,8.8,206984,人与自然的战争史诗,导演:宫崎骏,主演:松田洋治 / 石田百合子 / 田中裕子,1997,日本,动画 冒险 奇幻
心灵捕手,Good Will Hunting,8.7,232949,人生中应该拥有这样的一段豁然开朗,导演:格斯·范·桑特 Gus Van Sant,主演:马特·达蒙 Matt Damon / 罗宾·,1997,美国,剧情
第六感,The Sixth Sense,8.8,204999,深入内心的恐怖，出人意料的结局,导演:M·奈特·沙马兰 M Night Shyamalan,主演:布鲁斯·威利斯 Bruce Wi,1999,美国,剧情 悬疑 恐怖
阳光灿烂的日子, ,8.7,237635,一场华丽的意淫,导演:姜文 Wen Jiang,主演:夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 香港,剧情
大鱼,Big Fish,8.7,221569,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的,导演:Tim Burton,主演:Ewan McGregor / Albert Finney / Billy Crudup,2003,美国,剧情 家庭 奇幻 冒险
让子弹飞, ,8.7,563275,你给我翻译翻译，神马叫做TMD的惊喜,导演:姜文 Wen Jiang,主演:姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F,2010,中国大陆 香港,剧情 喜剧 动作 西部
射雕英雄传之东成西就,射鵰英雄傳之東成西就,8.7,241064,百看不厌,导演:刘镇伟 Jeffrey Lau,主演:梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri,1993,香港,喜剧 古装
素媛,소원,9.1,139283,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦,导演:李濬益 Jun-ik Lee,主演:薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ,2013,韩国,剧情 家庭
阳光姐妹淘,써니,8.8,235482,再多各自牛逼的时光，也比不上一起傻逼的岁月,导演:姜炯哲 Hyeong-Cheol Kang,主演:沈恩京 Eun-kyung Shim / 闵孝琳 Hy,2011,韩国,剧情 喜剧
大闹天宫, ,9.2,82775,经典之作，历久弥新,导演:万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,主演:邱岳峰 Yuefeng Qiu /,1961(上集) / 1964(下集) / 1978(全本) / 2004(纪念版),中国大陆,动画 奇幻
上帝之城,Cidade de Deus,8.9,141589,被上帝抛弃了的上帝之城,导演:Kátia Lund / Fernando Meirelles,主演:Alexandre Rodrigues / Lea,2002,巴西 法国,犯罪 剧情
春光乍泄,春光乍洩,8.7,205849,爱情纠缠，男女一致,导演:王家卫,主演:张国荣 / 梁朝伟 / 张震,1997,香港 日本 韩国,剧情 爱情 同性
重庆森林,重慶森林,8.6,277021,寂寞没有期限,导演:王家卫 Kar Wai Wong,主演:林青霞 Brigitte Lin / 金城武 Takeshi K,1994,香港,剧情 爱情
禁闭岛,Shutter Island,8.6,312706,昔日翩翩少年，今日大腹便便,导演:Martin Scorsese,主演:莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ,2010,美国,剧情 悬疑 惊悚
甜蜜蜜, ,8.7,203508,逢只要一瞬间，等待却像是一辈子,导演:陈可辛 Peter Chan,主演:黎明 Leon Lai / 张曼玉 Maggie Cheung / ,1996,香港,剧情 爱情
致命ID,Identity,8.6,274503,最不可能的那个人永远是最可能的,导演:James Mangold,主演:John Cusack / Ray Liotta / Amanda Peet,2003,美国,剧情 悬疑 惊悚
告白, ,8.6,296924,没有一人完全善，也没有一人完全恶,导演:中岛哲也 Tetsuya Nakashima,主演:松隆子 Takako Matsu / 冈田将生 ,2010,日本,剧情 惊悚
萤火虫之墓,火垂るの墓,8.7,181565,幸福是生生不息，却难以触及的远,导演:高畑勋 Isao Takahata,主演:辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画 剧情 战争
一一, ,8.9,133923,我们都曾经是一一,导演:杨德昌,主演:吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elaine Jin,2000,台湾 日本,剧情 爱情 家庭
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,8.6,292612,约翰尼·德普的独角戏,导演:戈尔·维宾斯基 Gore Verbinski,主演:约翰尼·德普 Johnny Depp / ,2003,美国,动作 冒险 奇幻
爱在黎明破晓前,Before Sunrise,8.7,188953,缘分是个连绵词，最美不过一瞬,导演:理查德·林克莱特 Richard Linklater,主演:伊桑·霍克 Ethan Hawke ,1995,美国 奥地利 瑞士,剧情 爱情
风之谷,風の谷のナウシカ,8.8,154946,动画片的圣经,导演:宫崎骏 Hayao Miyazaki,主演:岛本须美 Sumi Shimamoto / 京田尚子 H,1984,日本,科幻 动画 奇幻 冒险
阿凡达,Avatar,8.6,476504,绝对意义上的美轮美奂,导演:詹姆斯·卡梅隆 James Cameron,主演:萨姆·沃辛顿 Sam Worthington ,2009,美国 英国,动作 冒险 奇幻 科幻
爱在日落黄昏时,Before Sunset,8.7,174912,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖,导演:理查德·林克莱特 Richard Linklater,主演:伊桑·霍克 Ethan Hawke ,2004,美国,剧情 爱情
侧耳倾听,耳をすませば,8.8,145067,少女情怀总是诗,导演:近藤喜文 Yoshifumi Kondo,主演:本名阳子 Youko Honna / 小林桂树 K,1995,日本,剧情 爱情 动画 音乐
断背山,Brokeback Mountain,8.5,280723,每个人心中都有一座断背山,导演:李安 Ang Lee,主演:希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake,2005,美国 加拿大,剧情 爱情 同性 家庭
驯龙高手,How to Train Your Dragon,8.7,252130,和谐的生活离不开摸头与被摸头,导演:迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,主演:,2010,美国,喜剧 动画 奇幻 冒险 家庭
布达佩斯大饭店,The Grand Budapest Hotel,8.7,259155,小清新的故事里注入了大历史的情怀,导演:韦斯·安德森 Wes Anderson,主演:拉尔夫·费因斯 Ralph Fiennes / ,2014,美国 德国 英国,剧情 喜剧
猫鼠游戏,Catch Me If You Can,8.7,184426,骗子大师和执著警探的你追我跑故事,导演:史蒂文·斯皮尔伯格 Steven Spielberg,主演:莱昂纳多·迪卡普里奥 L,2002,美国 加拿大,传记 犯罪 剧情
海洋,Océans,9.0,91333,大海啊，不全是水,导演:雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,主演:,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片
狩猎,Jagten,9.0,98344,人言可畏,导演:托马斯·温特伯格 Thomas Vinterberg,主演:麦斯·米科尔森 Mads Mik,2012,丹麦 瑞典,剧情
摩登时代,Modern Times,9.2,72104,大时代中的人生，小人物的悲喜,导演:查理·卓别林 Charles Chaplin,主演:查理·卓别林 Charles Chaplin ,1936,美国,喜剧 剧情 爱情
燃情岁月,Legends of the Fall,8.8,136273,传奇，不是每个人都可以拥有,导演:爱德华·兹威克 Edward Zwick,主演:安东尼·霍普金斯 Anthony Hopki,1994,美国,剧情 爱情 西部 家庭
超脱,Detachment,8.7,148341,穷尽一生，我们要学会的，不过是彼此拥抱,导演:托尼·凯耶 Tony Kaye,主演:艾德里安·布洛迪 Adrien Brody / 克里,2011,美国,剧情
幸福终点站,The Terminal,8.6,202925,有时候幸福需要等一等,导演:史蒂文·斯皮尔伯格 Steven Spielberg,主演:汤姆·汉克斯 Tom Hanks,2004,美国,喜剧 剧情 爱情
电锯惊魂,Saw,8.6,176685,真相就在眼前,导演:詹姆斯·温 James Wan,主演:雷·沃纳尔 Leigh Whannell / 加利·艾,2004,美国 澳大利亚,犯罪 悬疑 惊悚
谍影重重3,The Bourne Ultimatum,8.7,158480,像吃了苏打饼一样干脆的电影,导演:保罗·格林格拉斯 Paul Greengrass,主演:马特·达蒙 Matt Damon / ,2007,美国 德国,动作 悬疑 冒险
神偷奶爸,Despicable Me,8.5,325971,Mr. I Don't Care其实也有Care的时候,导演:皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,主演:,2010,美国,儿童 喜剧 动画
菊次郎的夏天,菊次郎の夏,8.7,152804,从没见过那么流氓的温柔，从没见过那么温柔的流氓,导演:北野武 Takeshi Kitano,主演:北野武 Takeshi Kitano / 关口雄介 Yus,1999,日本,剧情 喜剧
虎口脱险,La grande vadrouille,8.9,95097,永远看不腻的喜剧,导演:杰拉尔·乌里 Gérard Oury,主演:路易·德·菲耐斯 Louis de Funès,1966,法国 英国,喜剧 战争
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,8.7,190619,曾经的那段美好会沉淀为一辈子的记忆,导演:米林宏昌 Hiromasa Yonebayashi,主演:志田未来 Mirai Shida / 神木,2010,日本,动画 奇幻 冒险
哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,8.6,208885,童话世界的开端,导演:Chris Columbus,主演:Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险
真爱至上,Love Actually,8.5,273137,爱，是个动词,导演:理查德·柯蒂斯 Richard Curtis,主演:休·格兰特 Hugh Grant / 柯林,2003,英国 美国,喜剧 剧情 爱情
雨人,Rain Man,8.6,187051,生活在自己的世界里，也可以让周围的人显得可笑和渺小,导演:巴瑞·莱文森 Barry Levinson,主演:达斯汀·霍夫曼 Dustin Hoffman ,1988,美国,剧情
末代皇帝,The Last Emperor,8.8,132173,“不要跟我比惨，我比你更惨”再适合这部电影不过了,导演:贝纳尔多·贝托鲁奇 Bernardo Bertolucci,主演:尊龙 John Lone / 陈,1987,意大利 中国大陆 英国 法国,剧情 传记 历史
岁月神偷,歲月神偷,8.6,274468,岁月流逝，来日可追,导演:罗启锐 Alex Law,主演:吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍,2010,香港 中国大陆,剧情 家庭
贫民窟的百万富翁,Slumdog Millionaire,8.5,361013,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,导演:丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,主演:戴夫,2008,英国 美国,剧情 爱情
倩女幽魂, ,8.6,212169,两张绝世的脸,导演:程小东 Siu-Tung Ching,主演:张国荣 Leslie Cheung / 王祖贤 Joey W,1987,香港,剧情 爱情 武侠 古装
记忆碎片,Memento,8.5,243688,一个针管引发的血案,导演:Christopher Nolan,主演:Guy Pearce / Carrie-Anne Moss / Joe Pant,2000,美国,犯罪 剧情 悬疑 惊悚
疯狂原始人,The Croods,8.7,332706,老少皆宜，这就是好莱坞动画的魅力,导演:科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演,2013,美国,喜剧 动画 冒险
东邪西毒,東邪西毒,8.5,221170,电影诗,导演:王家卫 Kar Wai Wong,主演:张国荣 Leslie Cheung / 张曼玉 Maggie C,1994,香港 台湾,剧情 动作 爱情 武侠 古装
七武士,七人の侍,9.1,64570,时代悲歌,导演:黑泽明 Akira Kurosawa,主演:三船敏郎 Toshir Mifune / 志村乔 ,1954,日本,动作 冒险 剧情
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,8.8,113307,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作,导演:马克·赫门 Mark Herman,主演:阿沙·巴特菲尔德 Asa Butterfield / ,2008,英国 美国,剧情 战争
怪兽电力公司,"Monsters, Inc.",8.6,205566,不要给它起名字，起了名字就有感情了,导演:彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,主演:约,2001,美国,喜剧 动画 儿童 奇幻
穿越时空的少女,時をかける少女,8.6,162669,爱上未来的你,导演:细田守 Mamoru Hosoda,主演:仲里依纱 Riisa Naka / 石田卓也 Takuya,2006,日本,剧情 爱情 科幻 动画
魂断蓝桥,Waterloo Bridge,8.8,115868,中国式内在的美国电影,导演:Mervyn LeRoy,主演:Vivien Leigh / Robert Taylor / Lucile Watson,1940,美国,剧情 战争 爱情
杀人回忆,살인의 추억,8.6,175739,关于连环杀人悬案的集体回忆,导演:奉俊昊 Joon-ho Bong,主演:宋康昊 Kang-ho Song / 金相庆 Sang-kyun,2003,韩国,犯罪 剧情 悬疑 惊悚
恐怖直播,더 테러 라이브,8.7,174478,恐怖分子的“秋菊打官司”,导演:金秉祐 Byeong-woo Kim,主演:河正宇 Jung-woo Ha / 李璟荣 Kyeong-y,2013,韩国,剧情 犯罪 悬疑
